id,refid,pred,disp,para,p_fam,p_g,p_sp,sp,a_g,a_sp,continent,log_avg_diam,log_ant_size,disp_self,disp_myrm,disp_vert,disp_wind,plant_sp,h_sp,omni_sp,hab_forest,hab_shrubland,hab_desert,hab_grassland,hab_crop,hab_urban,lform_annual,lform_perenniel,ghab_forbherb,ghab_graminoid,ghab_shrubtree,ghab_other,shape_longnarrow,shape_round,shape_sphere,shape_odd,surface_smooth,surface_middle,surface_rugous,surface_appendage,lform,ghab,shape,surface,hab,country,diam_min,diam_max,avg_diam,ant_lmin,ant_lmax,ant_size,myrm,depo,disp.prob1,pred.prob1,para.prob1,result,dispersal,diet
13,8,0,1,0,Ranunculaceae,Helleborus,foetidus,Helleborus foetidus,Aphaenogaster,iberica,Europe,0.84509804,0.84509804,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,Spain,6,8,7,6,8,7,1,1,0.978306002,0.00195551,0.009300042,disp,myrm,other
14,8,0,1,0,Ranunculaceae,Helleborus,foetidus,Helleborus foetidus,Aphaenogaster,senilis,Europe,0.84509804,0.77815125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,Spain,6,8,7,5,7,6,1,1,0.975955817,0.00207623,0.010620553,disp,myrm,other
15,8,0,1,0,Ranunculaceae,Helleborus,foetidus,Helleborus foetidus,Camponotus,cruentatus,Europe,0.84509804,0.903089987,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,Spain,6,8,7,7,9,8,1,1,0.980159102,0.000831268,0.00828852,disp,myrm,hd
16,8,0,1,0,Ranunculaceae,Helleborus,foetidus,Helleborus foetidus,Formica,cunicularia,Europe,0.84509804,0.574031268,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,Spain,6,8,7,3.5,4,3.75,1,1,0.967155646,0.001116212,0.015900147,disp,myrm,hd
58,13,0,1,0,Fabaceae,Acacia,suaveolens,Acacia suaveolens,Camponotus,intrepidus,Oceania,0.866287339,0.977723605,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,perennial,shrub_tree,round,smooth,forest,Australia,6.6,8.1,7.35,8,11,9.5,1,1,0.763828085,0.148680989,0.07837263,disp,myrm,other
59,13,0,1,0,Fabaceae,Acacia,suaveolens,Acacia suaveolens,Iridomyrmex,bicknelli,Oceania,0.866287339,0.352182518,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,perennial,shrub_tree,round,smooth,forest,Australia,6.6,8.1,7.35,2,2.5,2.25,1,1,0.547413047,0.234309636,0.223204989,disp,myrm,other
60,13,0,1,0,Fabaceae,Acacia,suaveolens,Acacia suaveolens,Rhytidoponera,tasmaniensis,Oceania,0.866287339,0.62838893,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,perennial,shrub_tree,round,smooth,forest,Australia,6.6,8.1,7.35,4,4.5,4.25,1,1,0.65124409,0.192822055,0.143723004,disp,myrm,other
268,24,1,0,0,Fabaceae,Dorycnium,pentaphyllum,Dorycnium pentaphyllum,Messor,unknown,Europe,0.477121255,0.740362689,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,perennial,shrub_tree,sphere,smooth,shrubland,Spain,2,4,3,4,7,5.5,0,1,0.669197742,0.070253154,0.032870744,pred,myrm,plant
337,39,0,1,0,Melanthiaceae,Trillium,discolor,Trillium discolor,Formica,pallidefulva,North_America,1.477121255,0.698970004,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,unknown,10,50,30,4.75,5.25,5,0,1,0.770934083,0.04164572,0.041692672,disp,myrm,hd
408,52,0,1,0,Papaveraceae,Sanguinaria,canadensis,Sanguinaria canadensis,Aphaenogaster,rudis,North_America,0.84509804,0.77815125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,perennial,forb_herb,round,smooth,forest,USA,5,9,7,5,7,6,1,1,0.838542243,0.063579633,0.020760694,disp,myrm,other
