"","ex.sp","genus","family"
"1","Aa achalensis","Aa","Apocynaceae"
"2","Aaronsohnia factorovskyi","Aaronsohnia","Asteraceae"
"3","Abacopteris menisciicarpa","Abacopteris","Aspleniaceae"
"4","Abarema abbottii","Abarema","Fabaceae"
"5","Abatia americana","Abatia","Salicaceae"
"6","Abaxianthus convexus","Abaxianthus","Orchidaceae"
"7","Abdominea minimiflora","Abdominea","Orchidaceae"
"8","Abelia angustifolia","Abelia","Caprifoliaceae"
"9","Abeliophyllum distichum","Abeliophyllum","Oleaceae"
"10","Abelmoschus crinitus","Abelmoschus","Malvaceae"
"11","Aberemoa sanctae-crucis","Aberemoa","Annonaceae"
"12","Abies alba","Abies","Pinaceae"
"13","Abietinella abietina","Abietinella",NA
"14","Abildgaardia abortiva","Abildgaardia","Cyperaceae"
"15","Abobra tenuifolia","Abobra","Cucurbitaceae"
"16","Abolboda acaulis","Abolboda","Xyridaceae"
"17","Abrahamia betamponensis","Abrahamia","Anacardiaceae"
"18","Abrodictyum angustimarginatum","Abrodictyum","Hymenophyllaceae"
"19","Abroma augusta","Abroma","Malvaceae"
"20","Abronia alpina","Abronia","Asteraceae"
"21","Abrophyllum microcarpum","Abrophyllum","Rousseaceae"
"22","Abrotanella caespitosa","Abrotanella","Asteraceae"
"23","Abrus aureus","Abrus","Fabaceae"
"24","Absinthium camphoratum","Absinthium","Asteraceae"
"25","Absolmsia spartioides","Absolmsia","Apocynaceae"
"26","Abuta antioquiana","Abuta","Menispermaceae"
"27","Abutilon abutiloides","Abutilon","Malvaceae"
"28","Acacallis cyanea","Acacallis","Orchidaceae"
"29","Acacia abbreviata","Acacia","Amaryllidaceae"
"30","Acaciella angustissima","Acaciella","Fabaceae"
"31","Acaena agnipila","Acaena","Rosaceae"
"32","Acalypha acapulcensis","Acalypha","Euphorbiaceae"
"33","Acampe carinata","Acampe","Orchidaceae"
"34","Acamptopappus microcephalus","Acamptopappus","Asteraceae"
"35","Acanthambrosia bryantii","Acanthambrosia","Asteraceae"
"36","Acanthella conferta","Acanthella","Melastomataceae"
"37","Acanthephippium javanicum","Acanthephippium",NA
"38","Acanthinophyllum ilicifolia","Acanthinophyllum","Moraceae"
"39","Acanthocalycium ferrarii","Acanthocalycium","Cactaceae"
"40","Acanthocalyx alba","Acanthocalyx","Lamiaceae"
"41","Acanthocardamum erinaceum","Acanthocardamum","Brassicaceae"
"42","Acanthocarpus canaliculatus","Acanthocarpus","Apocynaceae"
"43","Acanthocephalus benthamianus","Acanthocephalus","Costaceae"
"44","Acanthocereus baxaniensis","Acanthocereus","Cactaceae"
"45","Acanthochiton wrightii","Acanthochiton","Amaranthaceae"
"46","Acanthochlamys bracteata","Acanthochlamys","Arecaceae"
"47","Acanthocladiella flexilis","Acanthocladiella",NA
"48","Acanthocladium carlottae","Acanthocladium","Solanaceae"
"49","Acanthocladus albicans","Acanthocladus","Cactaceae"
"50","Acanthocoleus aberrans","Acanthocoleus",NA
"51","Acanthodium capense","Acanthodium","Acanthaceae"
"52","Acanthogilia gloriosa","Acanthogilia","Polemoniaceae"
"53","Acanthogonum polygonoides","Acanthogonum","Polygonaceae"
"54","Acantholejeunea dentistipula","Acantholejeunea",NA
"55","Acantholepis orientalis","Acantholepis","Asteraceae"
"56","Acantholimon acanthobryum","Acantholimon","Asteraceae"
"57","Acantholippia deserticola","Acantholippia","Verbenaceae"
"58","Acanthomintha duttonii","Acanthomintha","Lamiaceae"
"59","Acanthonema strigosum","Acanthonema","Gesneriaceae"
"60","Acanthopale aethiogermanica","Acanthopale","Acanthaceae"
"61","Acanthopanax koreanus","Acanthopanax","Araliaceae"
"62","Acanthophoenix rubra","Acanthophoenix","Arecaceae"
"63","Acanthophyllum acerosum","Acanthophyllum","Fabaceae"
"64","Acanthoprasium frutescens","Acanthoprasium","Lamiaceae"
"65","Acanthopsis carduifolia","Acanthopsis","Acanthaceae"
"66","Acanthorrhinum ramosissimum","Acanthorrhinum","Plantaginaceae"
"67","Acanthorrhiza ucayalina","Acanthorrhiza",NA
"68","Acanthorrhynchium altisetulum","Acanthorrhynchium",NA
"69","Acanthoscyphus parishii","Acanthoscyphus","Polygonaceae"
"70","Acanthosicyos horridus","Acanthosicyos","Cucurbitaceae"
"71","Acanthospermum australe","Acanthospermum","Asteraceae"
"72","Acanthostachys strobilacea","Acanthostachys","Fabaceae"
"73","Acanthostyles buniifolius","Acanthostyles","Asteraceae"
"74","Acanthosyris annonagustata","Acanthosyris","Santalaceae"
"75","Acanthothamnus aphyllus","Acanthothamnus","Celastraceae"
"76","Acanthoxanthium spinosum","Acanthoxanthium","Asteraceae"
"77","Acanthura mattogrossensis","Acanthura","Acanthaceae"
"78","Acanthus arborescens","Acanthus","Zamiaceae"
"79","Acareosperma spireanum","Acareosperma","Vitaceae"
"80","Acarospora coloradiana","Acarospora",NA
"81","Acaulimalva acaulis","Acaulimalva","Malvaceae"
"82","Acaulon casasianum","Acaulon","Crassulaceae"
"83","Acca lanuginosa","Acca","Myrtaceae"
"84","Accara elegans","Accara","Myrtaceae"
"85","Acentra serrata","Acentra","Violaceae"
"86","Acer acuminatum","Acer","Asteraceae"
"87","Aceras anthropomorphum","Aceras","Orchidaceae"
"88","Acerates engelmanniana","Acerates","Apocynaceae"
"89","Aceratium archboldianum","Aceratium","Elaeocarpaceae"
"90","Acetosa acetoselloides","Acetosa","Begoniaceae"
"91","Acetosella acetosella","Acetosella","Araceae"
"92","Achaetogeron ascendens","Achaetogeron","Asteraceae"
"93","Acharagma aguirreanum","Acharagma","Cactaceae"
"94","Acharia tragodes","Acharia","Achariaceae"
"95","Achatocarpus balansae","Achatocarpus","Phytolaccaceae"
"96","Achetaria azurea","Achetaria","Plantaginaceae"
"97","Achillea abrotanoides","Achillea","Rosaceae"
"98","Achimenes admirabilis","Achimenes","Gesneriaceae"
"99","Achlydosa glandulosa","Achlydosa","Orchidaceae"
"100","Achlyphila disticha","Achlyphila","Xyridaceae"
"101","Achlys californica","Achlys","Berberidaceae"
"102","Achnatherum acutum","Achnatherum","Poaceae"
"103","Achnophora tatei","Achnophora","Asteraceae"
"104","Achnopogon steyermarkii","Achnopogon","Asteraceae"
"105","Achras guapeda","Achras","Rosaceae"
"106","Achrophyllum anomalum","Achrophyllum",NA
"107","Achuaria hirsuta","Achuaria","Rutaceae"
"108","Achudemia insignis","Achudemia","Urticaceae"
"109","Achyrachaena mollis","Achyrachaena","Asteraceae"
"110","Achyranthes ancistrophora","Achyranthes","Asteraceae"
"111","Achyrocalyx decaryi","Achyrocalyx","Acanthaceae"
"112","Achyrocline alata","Achyrocline","Asteraceae"
"113","Achyronia aemula","Achyronia","Fabaceae"
"114","Achyronychia cooperi","Achyronychia","Caryophyllaceae"
"115","Achyropappus anthemoides","Achyropappus","Asteraceae"
"116","Achyrophorus brevicaulis","Achyrophorus","Asteraceae"
"117","Achyropsis avicularis","Achyropsis","Amaranthaceae"
"118","Achyrospermum aethiopicum","Achyrospermum","Lamiaceae"
"119","Achyrothalamus marginatus","Achyrothalamus","Asteraceae"
"120","Aciachne acicularis","Aciachne","Poaceae"
"121","Acianthella aegeridantennata","Acianthella","Orchidaceae"
"122","Acianthera aberrans","Acianthera","Orchidaceae"
"123","Acianthopsis bracteata","Acianthopsis","Orchidaceae"
"124","Acianthus aegeridantennatus","Acianthus","Orchidaceae"
"125","Acicarpha bonariensis","Acicarpha","Calyceraceae"
"126","Acidanthera bicolor","Acidanthera","Iridaceae"
"127","Acidocroton adelioides","Acidocroton","Euphorbiaceae"
"128","Acidodontium exaltatum","Acidodontium",NA
"129","Acidonia microcarpa","Acidonia","Proteaceae"
"130","Acidoton acidothamnus","Acidoton","Euphorbiaceae"
"131","Acilepidopsis echitifolia","Acilepidopsis","Asteraceae"
"132","Acilepis aspera","Acilepis","Asteraceae"
"133","Acineta alticola","Acineta","Orchidaceae"
"134","Acinodendron acuminatum","Acinodendron","Melastomataceae"
"135","Acinopetala adamsii","Acinopetala","Orchidaceae"
"136","Acinos alpinus","Acinos","Lythraceae"
"137","Acioa barteri","Acioa","Chrysobalanaceae"
"138","Aciotis acuminifolia","Aciotis","Melastomataceae"
"139","Aciphylla anomala","Aciphylla","Asparagaceae"
"140","Acisanthera alsinaefolia","Acisanthera","Melastomataceae"
"141","Acis autumnalis","Acis","Amaryllidaceae"
"142","Ackama nubicola","Ackama","Cunoniaceae"
"143","Ackermania palorae","Ackermania","Orchidaceae"
"144","Acleisanthes acutifolia","Acleisanthes","Nyctaginaceae"
"145","Aclisia crispata","Aclisia","Commelinaceae"
"146","Acmadenia alternifolia","Acmadenia","Rutaceae"
"147","Acmanthera cowanii","Acmanthera","Balsaminaceae"
"148","Acmella alba","Acmella","Asteraceae"
"149","Acmena brachyandra","Acmena","Myrtaceae"
"150","Acmispon americanus","Acmispon","Fabaceae"
"151","Acmopyle pancheri","Acmopyle","Podocarpaceae"
"152","Acnistus arborescens","Acnistus","Solanaceae"
"153","Acoelorraphe wrightii","Acoelorraphe","Arecaceae"
"154","Acoelorrhaphe wrightii","Acoelorrhaphe",NA
"155","Acokanthera laevigata","Acokanthera","Acanthaceae"
"156","Acolea africana","Acolea",NA
"157","Acomastylis elata","Acomastylis","Rosaceae"
"158","Acomis acoma","Acomis","Asteraceae"
"159","Acomosperma rivularis","Acomosperma",NA
"160","Aconitella aconiti","Aconitella","Ranunculaceae"
"161","Aconitum abietetorum","Aconitum","Ranunculaceae"
"162","Aconogonon alaskanum","Aconogonon","Polygonaceae"
"163","Aconogonum coriarium","Aconogonum",NA
"164","Ã—Conyzigeron huelsenii","Ã—Conyzigeron",NA
"165","Acorellus laevigatus","Acorellus","Cyperaceae"
"166","Acoridium auritum","Acoridium","Orchidaceae"
"167","Acorus adulterinus","Acorus","Acoraceae"
"168","Acosmium bijugum","Acosmium","Fabaceae"
"169","Acostaea costaricensis","Acostaea","Orchidaceae"
"170","Acosta maculosa","Acosta","Poaceae"
"171","Acostia gracilis","Acostia","Poaceae"
"172","Acourtia alamanii","Acourtia","Asteraceae"
"173","Acrachne perrieri","Acrachne","Poaceae"
"174","Acradenia euodiiformis","Acradenia","Fabaceae"
"175","Acranthera anamallica","Acranthera","Rubiaceae"
"176","Ã—Crepi-Hieracium garnieri","Ã—Crepi-Hieracium",NA
"177","Acridocarpus adenophorus","Acridocarpus","Malpighiaceae"
"178","Acriopsis emarginata","Acriopsis","Orchidaceae"
"179","Acrisione denticulata","Acrisione","Asteraceae"
"180","Acritochaete volkensii","Acritochaete","Poaceae"
"181","Acritodon nephophilus","Acritodon",NA
"182","Acritopappus buiquensis","Acritopappus","Asteraceae"
"183","Acroblastum fawcettii","Acroblastum","Balanophoraceae"
"184","Acrobolbus antillanus","Acrobolbus",NA
"185","Acrocarpidium rotundifolium","Acrocarpidium","Piperaceae"
"186","Acrocarpus fraxinifolius","Acrocarpus","Liliaceae"
"187","Acrocephalus angolensis","Acrocephalus","Asteraceae"
"188","Acroceras amplectens","Acroceras","Poaceae"
"189","Acrochaene punctata","Acrochaene","Orchidaceae"
"190","Acrochila biserialis","Acrochila","Campanulaceae"
"191","Acrocladium auriculatum","Acrocladium","Asteraceae"
"192","Acrocomia aculeata","Acrocomia","Arecaceae"
"193","Acrocryphaea concavifolia","Acrocryphaea",NA
"194","Acrodiclidium guianense","Acrodiclidium","Lauraceae"
"195","Acrodon bellidiflorus","Acrodon","Campanulaceae"
"196","Acroglochin persicarioides","Acroglochin","Rosaceae"
"197","Acrolasia catalinensis","Acrolasia","Primulaceae"
"198","Acrolejeunea allisonii","Acrolejeunea",NA
"199","Acrolophia barbata","Acrolophia","Orchidaceae"
"200","Acrolophozia fuegiana","Acrolophozia",NA
"201","Acromastigum adaptatum","Acromastigum",NA
"202","Acronema astrantiifolium","Acronema","Apiaceae"
"203","Acronia baudoensis","Acronia","Orchidaceae"
"204","Acronychia aberrans","Acronychia","Rutaceae"
"205","Acrophorus adiantoides","Acrophorus","Polypodiaceae"
"206","Acrophyllum australe","Acrophyllum","Asteraceae"
"207","Acropogon aoupiniensis","Acropogon","Cunoniaceae"
"208","Acroporium acestrostegium","Acroporium",NA
"209","Acroptilon repens","Acroptilon","Asteraceae"
"210","Acrorchis roseola","Acrorchis","Orchidaceae"
"211","Acrorumohra diffracta","Acrorumohra","Polypodiaceae"
"212","Acrosanthes anceps","Acrosanthes","Aizoaceae"
"213","Acroschisma wilsonii","Acroschisma",NA
"214","Acroscyphella phoenicorhiza","Acroscyphella",NA
"215","Acrosorus exaltatus","Acrosorus","Polypodiaceae"
"216","Acrostemon equisetoides","Acrostemon","Ericaceae"
"217","Acrostichum aphlebium","Acrostichum","Pteridaceae"
"218","Acrosticum elegans","Acrosticum","Pteridaceae"
"219","Acrosynanthus jamaicensis","Acrosynanthus","Rubiaceae"
"220","Acrothamnus colensoi","Acrothamnus","Ericaceae"
"221","Acrotome angustifolia","Acrotome","Lamiaceae"
"222","Acrotrema costatum","Acrotrema","Dilleniaceae"
"223","Acrotriche affinis","Acrotriche","Ericaceae"
"224","Acsmithia austrocaledonica","Acsmithia","Cunoniaceae"
"225","Actaea acuminata","Actaea","Asteraceae"
"226","Actephila albidula","Actephila","Apocynaceae"
"227","Actephilopsis crozaii","Actephilopsis","Euphorbiaceae"
"228","Actinanthella menyharthii","Actinanthella","Loranthaceae"
"229","Actinea anthemoides","Actinea","Asteraceae"
