sp,C.C.,Light,Life-forma,Native,mode,# Sitesc,D&H,Bader,Tim
Carex jamesii,6,1,P-SEDGE,x,ant,6,,,x
Claytonia virginica,4,5.33,P-FORB,x,ant,3,,x,
Cardamine concatenata,7,1,P-FORB,x,ant,2,,,
Dicentra cucullaria,7,1,P-FORB,x,ant,4,,,
Erythronium albidum,6,3,P-FORB,x,ant,5,x,x,
Hepatica acutiloba,6,1,P-FORB,x,ant,2,,xx,
Sanguinaria canadensis,7,2,P-FORB,x,ant,4,,x,x
Uvularia grandiflora,7,1,P-FORB,x,ant,7,,x,x
Viola sororia,1,3.67,P-FORB,x,ant,8,,x,x
Carya cordiformis,5,1,TREE,x,cache,7,,,x
Carya ovata,5,1,TREE,x,cache,6,,,x
Juglans nigra,4,1,TREE,x,cache,4,,,x
Quercus alba,6,1,TREE,x,cache,6,,,x
Quercus macrocarpa,4,3,TREE,x,cache,2,,,x
Quercus borealis,6,1,TREE,x,cache,8,,,
Quercus velutina,4,1,TREE,x,cache,3,,,x
Amphicarpaea bracteata,4,5.5,H-VINE,x,attach,2,x,x,x
Arctium minus,0,6,B-FORB,,attach,1,x,,
Bidens frondosa,3,5.25,A-FORB,x,attach,1,,,x
Circaea lutetiana,5,3,P-FORB,x,attach,7,,x,x
Cryptotaenia canadensis,4,3.5,P-FORB,x,attach,7,,x,x
Desmodium glutinosum,5,3,P-FORB,x,attach,4,,x,x
Galium aparine,1,6.4,A-FORB,x,attach,8,,,
Galium circaezans,6,3.33,P-FORB,x,attach,7,,x,x
Galium concinnum,7,6.14,P-FORB,x,attach,7,x,x,x
Galium triflorum,7,4.86,P-FORB,x,attach,7,,x,x
Geum canadense,2,3.33,P-FORB,x,attach,3,x,x,x
Hackelia virginiana,0,3,P-FORB,x,attach,7,,,x
Osmorhiza claytoni,3,1,P-FORB,x,attach,7,,x,x
Sanicula marilandica,5,5.33,P-FORB,x,attach,8,,x,
Torilis arvensis,0,8.67,A-FORB,,attach,3,,,
Actaea rubra,7,1,P-FORB,x,endo,1,,x,
Arisaema triphyllum,4,1,P-FORB,x,endo,3,,x,x
Celtis occidentalis,2,4,TREE,x,endo,7,,,
Cornus foemina,1,5.33,SHRUB,x,endo,8,x,x,x
Crataegus sp.,3,5,TREE,x,endo,2,x,x,x
Amelanchier arborea,8,4,TREE,x,endo,4,,x,
Celastrus scandens,1,5.2,W-VINE,x,endo,1,x,x,x
Euonymus atropurpureus,7,3.5,SHRUB,x,endo,1,,,
Juniperus virginiana,1,8,TREE,x,endo,1,,,x
Lonicera tatarica,0,4.67,SHRUB,,endo,2,,,
