sp,mode
Graptophyllum insularum,ballistic
Cordyline terminalis,endo
Mangifera indica,endo
Pleiogynium timoriense,endo
Rhus taitensis,endo
Alyxia stellata,endo
Ervatamia obtusiuscula,endo
Neisosperma oppositifolium,endo
Ochrosia vitiensis,endo
Colocasia esculenta,water
Meryta macrophylla,endo
Cocos nucifera,cache
Tectaria dissecta,wind
Ageratum conyzoides,wind
Elephantopus mollis,wind
Synedrella nodiflora,wind
Youngia japonica,NA
Canarium harveyi,endo
Garuga floribunda,endo
Maniltoa grandiflora,passive
Senna tora,endo
Casuarina equisetifolia,wind
Maytenus vitiensis,endo
Calophyllum neo-ebudicum,endo
Terminalia catappa,endo
Terminalia litoralis,endo
Ipomea,water
Cycas seemannii,endo
Scleria lithosperma,attach
Scleria polycarpa,attach
Davallia solida,water
Nephrolepis hirsutula,wind
Dioscorea alata,wind
Dioscorea bulbifera,wind
Dioscorea pentaphylla,wind
Diospyros elliptica,endo
Diospyros samoensis,endo
Cordia subcordata,water
Elaeocarpus tonganus,endo
Bischofia javanica,endo
Drypetes vitensis,endo
Excoecaria agallocha,endo
Glochidion ramiflorum,endo
Jatropha curcas,endo
Macaranga harveyana,endo
Manihot esculenta,NA
homalium whitmeeanum,endo
Xylosma simulans,endo
Citronella samoensis,endo
Cryptocarya turbinata,endo
Geniostoma rupestre,endo
Hibiscus tiliaceus,water
Sida rimbifolia,water
Thespesia populnea,water
Urena lobata,attach
Dysoxylum forsteri,endo
Vavaea amicorum,endo
Memecylon vitensis,endo
Adenanthera pavonina,endo
Leucaena leucocephala,passive
Mimosa pudica,attach
Serianthes melanesica,passive
Artocarpus altilis,endo
Ficus scabra,endo
Ficus obliqua,endo
Ficus tinctoria,endo
Eugenia reinwardtiana,endo
Psidium guajava,endo
Syzygium clusiifolium,endo
Pisonia grandis,attach
Anacolosa lutea,animalnotspecified
Chionanthus vitiensis,endo
Pandanus tectorius,cache
Canavalia rosea,water
Desmodium incanum,attach
Indigofera suffruticosa,water
Inocarpus fagifer,endo
Passiflora maliformis,endo
Macropiper puberulum,endo
Pittosporum arborescens,endo
Centosteca lappacea,attach
Cyrtococcum oxyphyllum,NA
Oplismenus compositus,attach
Panicum maximum,attach
Ralphitonia zizyphoides,endo
Colubrina asiatica,water
Aidia racemosa,endo
Badusa corymbifera,endo
Cyclophyllum barbatum,endo
Geopgila repens,endo
Guettarda speciosa,endo
Ixora calcicola,endo
Morinda citrifolia,endo
Mussaenda raiateensis,endo
Porterandia crosbyi,endo
Spermacoce assurgens,wind
Tarenna sambucina,endo
Citrus maxima,endo
Euodia hortensis,endo
Micromelum minutum,endo
Zanthoxylum pinnatum,endo
Santalum yasi,endo
Allophylus timoriensis,endo
Elattostachys falcata,endo
Guioa lentiscifolia,endo
Pometia pinnata,endo
Manilkara dissecta,endo
Pouteria grayana,endo
Pouteria membranaceae,endo
Pouteria garberi,endo
Schizaea dichtoma,wind
Tacca leontopetaloides,water
Christella parasitica,wind
Phaleria disperma,wind
Wikstoemia foetida,endo
Grewia crenata,endo
Triumfetta rhomboidea,water
Lantana camara,endo
Premna serratifolia,endo
Stachytarpheta urticifolia,attach
