sp,Nativity,Growth Form,Dispersal Mode,Dispersal Source,mode
Acalypha rhomboidea,Native,Forb,Short,"(Hooper et al., 2004; Minor et al., 2009)",NA
Allium,,Forb,Short,,NA
Allium vineale,Exotic,Forb,Short,"(Minor et al., 2009)",NA
Amaranthus hybridus,Exotic,Forb,Short,"(Royal Botanic Gardens Kew, 2016)",NA
Ambrosia artemisiifolia,Native,Forb,Short,"(Lavoie et al., 2007; Minor et al., 2009)",NA
Amphicarpaea bracteata,Native,Vine,Short,"(Trapp, 1988)",NA
Anemone americana,Native,Forb,Short,Inferred from morphology and con-geners,NA
Arundinaria gigantea,Native,Graminoid,Short,"(Taylor, 2006)",NA
Asarum canadense,Native,Forb,Short,"(Matlack, 1994; Minor et al., 2009)",NA
Bromus pubescens,Native,Graminoid,Short,"(Cain et al., 1998; Minor et al., 2009)",NA
Cardamine angustata,Native,Forb,Short,"Inferred from con-geners (Carlsen et al., 2009)",NA
Cardamine dissecta,Native,Forb,Short,"Inferred from con-geners (Carlsen et al., 2009)",NA
Cardamine hirsuta,Exotic,Forb,Short,"(Royal Botanic Gardens Kew, 2008)",NA
Carex abscondita,Native,Graminoid,Short,Inferred from con-geners,NA
Carex amphibola,Native,Graminoid,Short,"(Cain et al., 1998; Minor et al., 2009)",NA
Carex appalachica,Native,Graminoid,Short,Inferred from con-geners (Flinn et al. 2010),NA
Carex aureolensis,Native,Graminoid,Short,Inferred from con-geners,NA
Carex blanda,Native,Graminoid,Short,"(Cain et al., 1998; Minor et al., 2009)",NA
Carex bromoides,Native,Graminoid,Short,"(Flinn et al., 2010)",NA
Carex careyana,Native,Graminoid,Short,Inferred from con-geners,NA
Carex caroliniana,Native,Graminoid,Short,Inferred from con-geners,NA
Carex cephalophora,Native,Graminoid,Short,"(Cain et al., 1998; Minor et al., 2009)",NA
Carex corrugata,Native,Graminoid,Short,Inferred from con-geners,NA
Carex crebriflora,Native,Graminoid,Short,Inferred from con-geners,NA
Carex debilis,Native,Graminoid,Short,Inferred from con-geners,NA
Carex digitalis,Native,Graminoid,Short,"(Cain et al., 1998; Minor et al., 2009)",NA
