sp,Family,Common Name,Vernacular Name,Status,Growth habit,Habitat,Adult Vegetative Zone,Seedling Vegetative Zone,Germination Requirements,Substrate Requirements,Soil or Nutrient Levels,Canopy Cover,Humidity Level,Other Abiotic Factors,Host Plant (if epiphytic),Pollination Mode,Seed Dispersal Mode,mode,"Other Biotic Partners (mycorrhizae, etc.)",Known Pest/Diseases,
Bikkia tetrandra,Rubiaceae,torchwood,gausali,native,Shrub to small tree,limestone,"Edge, Cliffside","Edge, Cliffside",Can be grown by seeds (Raulerson & Rinehart 1991); Collect mature capsules that have not split open. Plant seeds directly on soil surface. Germination occurs within 3-4 weeks. (Bucayu-Laurent et al 2017),Limestone (Stone 1970),"Basic limetone soil, ph 7.6-8.5+.","Tolerates full sun, but seedlings should be shaded (Bucayu-Laurent et al 2017)",Low humidity (Bucayu-Laurent et al 2017),"Tolerant of salt spray. Almost always on cliff-faces or open spots, facing the sea (Stone 1970); highly salt- and wind-tolerant (Bucayu-Laurent et al 2017)",-,Insect pollinated (Bucayu-Laurent et al 2017),-,NA,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),-,
Canthium odoratum var. tinianensis,Rubiaceae,UNRESOLVED NAME,,native,Shrub to small tree,"limestone, coastal LS","Edge, Cliffside","Edge, Cliffside",,,-,-,-,-,-,-,-,NA,Ectomycorrhiza and arbuscular myorrhizal fungi association in Rubiaceae family (Newman & Reddell 1987),Tydeus sp. mites found domatia pits (Pemberton & Turner 1989),
Dioscorea bulbifera,Dioscoreaceae,"Bitter Yam, Wild Yam",Magnaheugo,native,Tuberous vine,limestone,"Understory, canopy",-,-,Widespread on Guam (Stone 1970),-,-,-,-,na,-,-,NA,-,-,
Elatostema calcareum,Urticaceae,-,tapun ayuyu,native,Herbaceous,"limestone, cliffside (Stone 1970; Demeulenaere et al 2018b)",Understory,Forest floor,"Can be propagated by terminal stems or stems with part of the root system (Cruz, pers. comm.)","Generally on pinnacle karst, growing in pits (Demeulenaere et al 2018a)",,-,-,-,na,-,-,NA,Associates with AMF (Cruz pers. comm.); Likely vesicular-arbuscular mycorrhizal association in Urticaceae family (Smith & Smith 1997),"Herbivory by slugs, pigs, deer (Demeulenaere et al 2018b)",
Laportea ruderalis,Urticaceae,-,-,native,Herbaceous,limestone,Understory,Forest floor,-,Generally on pinnacle karst (Demeulenaere et al 2018a),-,-,-,-,na,-,-,NA,-,-,
Melochia villosissima,Malvaceae,M. villosissima var. compacta (syn),sayafe,native,Shrub to small tree,limestone,Edge,-,Can be grown by seeds and perhaps by cuttings (Raulerson & Rinehart 1991),Limestone (Stone 1970),-,Grows in open fields and edges (Raulerson & Rinehart 1991),-,-,na,Butterflies may assist in pollination,-,NA,Vesicular-arbuscular mycorrhizal association in Malvaceae family (Smith & Smith 1997),-,
Oplismenus compositus ,Poaceae,Basket Grass,-,native,Creeping grass,"limestone, clay",Understory,Forest floor (Stone 1970),-,-,-,Shady areas (Stone 1970),Tolerant of dry areas (Stone 1970),-,na,-,-,NA,-,-,
Oplismenus hirtellus,Poaceae,Bristle Basket Grass,-,native,Creeping grass,"limestone, clay",Understory,-,-,-,-,-,-,-,na,-,-,NA,-,-,
Oplismenus undulatifolius,Poaceae,-,-,native,Creeping grass,"limestone, clay",Understory,Forest floor (Stone 1970),-,-,-,-,-,-,na,-,-,NA,-,-,
Peperomia mariannensis,Piperaceae,-,potpupot-palaoan,native,Herbaceous,limestone,Understory,-,-,"Limestone, ""Grows on the banks of streams"" (Safford 1905)",-,Shady areas,-,-,na,-,-,NA,-,-,
