source,site_id,lat,long,family,genus,species,sp,mode,color_desc,habit,fruit_length
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Moraceae,Morus,rubra,Morus rubra,endo,black,tree,45
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Santalaceae,Geocaulon,lividum,Geocaulon lividum,endo,red,,8
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Loranthaceae,Arceuthobium,pusillum,Arceuthobium pusillum,endo,green,shrub,2.75
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Phytolaccaceae,Phytolacca,americana,Phytolacca americana,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Nymphaeaceae,Nuphar,microphyllum,Nuphar microphyllum,endo,red,aquatic,4.25
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Nymphaeaceae,Nuphar,variegatum,Nuphar variegatum,endo,black,aquatic,31.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Nymphaeaceae,Nuphar,advena,Nuphar advena,endo,green,aquatic,35
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Nymphaeaceae,Nelumbo,lutea,Nelumbo lutea,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ranunculaceae,Actaea,rubra,Actaea rubra,endo,red,herb,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ranunculaceae,Actaea,pachypoda,Actaea pachypoda,endo,white,herb,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Ranunculaceae,Hydrastis,canadensis,Hydrastis canadensis,endo,red,herb,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Berberidaceae,Caulophyllum,thalictroides,Caulophyllum thalictroides,endo,blue,herb,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Berberidaceae,Berberis,vulgaris,Berberis vulgaris,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Berberidaceae,Menispermum,canadense,Menispermum canadense,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Lauraceae,Sassafras,albidum,Sassafras albidum,endo,blue,tree,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Lauraceae,Lindera,benzoin,Lindera benzoin,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,cynosbati,Ribes cynosbati,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,hirtellum,Ribes hirtellum,endo,,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,lacustre,Ribes lacustre,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,glandulosum,Ribes glandulosum,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,triste,Ribes triste,endo,unknown,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,hudsonianum,Ribes hudsonianum,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,americanum,Ribes americanum,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Saxifragaceae,Ribes,odoratum,Ribes odoratum,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Pyrus,arbutifolia,Pyrus arbutifolia,endo,red,shrub,6
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Pyrus,floribunda,Pyrus floribunda,endo,black,shrub,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Pyrus,melanocarpa,Pyrus melanocarpa,endo,black,shrub,8.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Pyrus,americana,Pyrus americana,endo,red,tree,5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Pyrus,decora,Pyrus decora,endo,,tree,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Pyrus,aucuparia,Pyrus aucuparia,endo,,tree,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,sanguinea,Amelanchier sanguinea,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,wiegandii,Amelanchier wiegandii,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,gaspensis,Amelanchier gaspensis,endo,black,shrub,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,stolonifera,Amelanchier stolonifera,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,fernaldii,Amelanchier fernaldii,endo,black,shrub,8
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,canadensis,Amelanchier canadensis,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,intermedia,Amelanchier intermedia,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,arborea,Amelanchier arborea,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,laevis,Amelanchier laevis,endo,black,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Amelanchier,bartramiana,Amelanchier bartramiana,endo,black,shrub,11.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,intricata,Crataegus intricata,endo,yellow,shrub,11
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,foetida,Crataegus foetida,endo,orange,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,crus-gallii,Crataegus crus-gallii,endo,red,tree,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,punctata,Crataegus punctata,endo,unknown,tree,16
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,suborbiculata,Crataegus suborbiculata,endo,red,tree,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,chrysocarpa,Crataegus chrysocarpa,endo,red,tree,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,chrysocarpa var. phoenicea,Crataegus chrysocarpa var. phoenicea,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,faxonii,Crataegus faxonii,endo,red,shrub,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,brunetiana,Crataegus brunetiana,endo,unknown,shrub,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,jonesae,Crataegus jonesae,endo,red,tree,10.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,dodgei,Crataegus dodgei,endo,orange,shrub,11
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,brainerdi,Crataegus brainerdi,endo,unknown,shrub,8.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,brainerdi var. asperifolia,Crataegus brainerdi var. asperifolia,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,brainerdi var. scabrida,Crataegus brainerdi var. scabrida,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,brainerdi var. egglestoni,Crataegus brainerdi var. egglestoni,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,macrosperma,Crataegus macrosperma,endo,red,tree,11.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,macrosperma var. acutiloba,Crataegus macrosperma var. acutiloba,endo,red,,10
