sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Abrotanella caespitosa,herb,cypsela,,"cypsela glabrous, pappus absent",,wind,,,,wind
Abrotanella fertilis,herb,cypsela,,"""   """,,wind,,,,wind
Abrotanella inconspicua,herb,cypsela,,"""   """,,wind,,,,wind
Abrotanella linearis,herb,cypsela,,while in capitulum and possible young plants,,wind,,,,wind
Abrotanella muscosa,herb,cypsela,,"apex with long-awned, cypsela hairy, pappus absent.",,wind,,,,wind
Abrotanella patearoana,herb,cypsela,,"""   """,,wind,,,,wind
Abrotanella pusilla,herb,cypsela,,"cypsela glabrous, pappus absent",,wind,,,,wind
Abrotanella rostrata,herb,cypsela,,"""   """,,wind,,,,wind
Abrotanella rosulata,herb,cypsela,,"cypsela glabrous, pappus absent, apex short-awned",,wind,,,,wind
Abrotanella spathulata,herb,cypsela,,"cypsela glabrous, slightly winged, pappus absent",,wind,,,,wind
Acaena  ,herb,hypanthium,spines,"or not. Non-barbed spp. thought dispersed by water,",Benson and McDougall,attachment,wind,granivory,,attach
Acaena  ,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena anserinifolia,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena buchananii,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena caesiiglauca,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena dumicola,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena emittens,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena fissistipula,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena glabra,herb,hypanthium,,"""   "" , spineless, poss. disp. by wind or granivory","""   """,wind,,,,wind
Acaena inermis,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena juvenca,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena magellanica,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena microphylla,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena minor,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena pallida,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena profundeincisa,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena rorida,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena saccaticupula,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Acaena tesca,herb,hypanthium,spines,"""   ""","""   """,attachment,wind,granivory,,attach
Achnatherum petriei,herb,floret,"lemma long awned, hairy",wind ,,wind,,,,wind
Achyranthes velutina,shrub,utricle,spines,"perianth and bracteoles spiny, attachment. See de","Carlquist 1967, van der Pijl",attachment,,,,attach
Acianthus sinclairii,herb,seed,minute,,,wind,,,,wind
Aciphylla  ,herb,schizocarp,winged,to a lesser extent in Webb and Simpson's Group 3.,,wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""   """,,wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""   """,,wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""   """,,wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""   """,,wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla  ,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla anomala,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla aurea,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla cartilaginea,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla colensoi,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla congesta,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla crenulata,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla crosby-smithii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla dieffenbachii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla dissecta,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla divisa,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla dobsonii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla ferox,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla glaucescens,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla hectorii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla hookeri,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla horrida,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla kirkii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla lecomtei,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla leighii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla lyallii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla monroi,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla montana,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla multisecta,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla pinnatifida,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla polita,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla similis,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla simplex,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla spedenii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla squarrosa,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla stannensis,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla subflabellata,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla traillii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla traversii,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Aciphylla trifoliolata,herb,schizocarp,winged,"""","""",wind,capsule,,,wind
Ackama nubicola,tree,carpel,hairy,testa clothed in sparse long hairs,,wind,,,,wind
Ackama rosifolia,tree,carpel,hairy,"""   """,,wind,,,,wind
Acrothamnus colensoi,shrub,berry,fleshy,fleshy,,frugivory,invertebrate,,,endo
Actinotus novaezelandiae,herb,mericarp,,,"mericarp single, ribbed, style long. See Webb ",water,,,,water
Adelopetalum tuberculatum,herb,seed,minute,,,wind,,,,wind
Adenochilus gracilis,herb,seed,minute,,,wind,,,,wind
Adiantum aethiopicum,fern,spore,minute,"""   "", spores lack chlorophyll",,wind,,,,wind
Adiantum cunninghamii,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Adiantum diaphanum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Adiantum formosum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Adiantum fulvum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Adiantum hispidulum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Adiantum viridescens,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Agathis australis,tree,seed,winged,,wind ,wind,,,,wind
Agrostis  ,herb,floret,,"lemma usually glabrous, occ. with short awn","et al. 1995, Cain et al. 1998,",water,wind,,,water
Agrostis dyeri,herb,floret,,"""   ""","""   """,water,wind,,,water
Agrostis imbecilla,herb,floret,,"""   ""","""   """,water,wind,,,water
Agrostis magellanica,herb,floret,,"""   ""","""   """,water,wind,,,water
Agrostis muelleriana,herb,floret,"""   ""","""   """,,water,wind,,,water
Agrostis muscosa,herb,floret,"""   ""","""   """,,water,wind,,,water
Agrostis oresbia,herb,floret,"""   ""","""   """,,water,wind,,,water
Agrostis pallescens,herb,floret,"""   ""","""   """,,water,wind,,,water
Agrostis personata,herb,floret,"""   ""","""   """,,water,wind,,,water
Agrostis petriei,herb,floret,"""   ""","""   """,,water,wind,,,water
Agrostis subulata,herb,floret,"""   ""","""   """,,water,wind,,,water
Alectryon excelsus,tree,seed,arillate,frugivory ,Benson and McDougall,frugivory,,,,endo
Alepis flavida,shrub,berry,fleshy,see Kelly et al. ,frugivory ,frugivory,,,,endo
Alseuosmia banksii,shrub,berry,fleshy,see Merret et al. ,,frugivory,,,,endo
Alseuosmia macrophylla,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Alseuosmia pusilla,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Alseuosmia quercifolia,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Alseuosmia turneri,shrub,berry,fleshy,"""   """,,frugivory,,,,endo
Alternanthera denticulata,herb,utricle,Lange ,granivory ,,attachment,granivory,,,attach
Alternanthera sessilis,herb,utricle,"""   ""","""   """,,attachment,granivory,,,attach
Amphibromus fluitans,herb,floret,,. Spikelets disarticulate at,,wind,water,,,wind
Anaphalioides alpina,herb,cypsela,pappate,persistent ,,wind,,,,wind
Anaphalioides bellidioides,herb,cypsela,pappate,"""   """,,wind,,,,wind
Anaphalioides hookeri,herb,cypsela,pappate,"""   """,,wind,,,,wind
Anaphalioides subrigida,herb,cypsela,pappate,"""   """,,wind,,,,wind
Anaphalioides trinervis,herb,cypsela,pappate,"""   """,,wind,,,,wind
Anarthropteris lanceolata,fern,spore,minute,"""   """,,wind,,,,wind
Androstoma empetrifolia,shrub,drupe,fleshy,fleshy,,frugivory,,,,endo
