sp,mode,distance,remark,citation
Cardamine amara,ballistic,1.4,Maximum,Schneider 1935
Cardamine impatiens,ballistic,2,Maximum,Schneider 1935
Cardamine pratensis,ballistic,2.4,Maximum,Schneider 1935
Cardamine resedifolia,ballistic,1.04,Maximum,Schneider 1935
Cardamine resedifolia,ballistic,< 1,Maximum,Stöcklin & Bäumler 1996
Geranium maculatum,ballistic,1.4 / 6.2,Mode and maximum,Stamp & Lucas 1983 and unpubl. in Willson 1993
Geranium maculatum,ballistic,4.6 / 5.6,Mode and maximum,Stamp & Lucas 1983 and unpubl. in Willson 1993
Geranium molle,ballistic,1.78 / 2.8,Mean and maximum,Stamp & Lucas 1983 in Cain et al. 1998
Geranium robertianum,ballistic,6,Maximum,Ridley 1930 in Müller-Schneider 1983
Geranium rotundifolium,ballistic,1.8,Maximum,Müller-Schneider 1933 in Müller-Schneider 1983
Geranium sylvaticum,ballistic,2.7,Maximum,Müller-Schneider 1983
Impatiens parviflora,ballistic,3.4,Maximum,Schneider 1935
Lathraea clandestina,ballistic,4,Maximum,Guttenberg 1926 in Müller-Schneider 1983
Lathyrus vernus,ballistic,1.5,Maximum,Müller-Schneider 1986
Mercurialis annua,ballistic,2.9,Maximum,Müller-Schneider 1983
Mercurialis perennis,ballistic,4,Maximum,Ridley 1930 in Müller-Schneider 1983
Mercurialis perennis,ballistic,0.89,Maximum,Müller-Schneider 1986
Oxalis acetosella,ballistic,2.3,Maximum,Moor 1940 in Müller-Schneider 1983
Oxalis acetosella,ballistic,5,Maximum,Berg 2000
Viola arvensis,ballistic,2.4,Maximum,Stapf 1887 in Müller-Schneider 1983
Viola canina,ballistic,4.7,Maximum,Ulbrich 1928 in Müller-Schneider 1983
Viola riviniana,ballistic,4.6,Maximum,Ulbrich 1928 in Müller-Schneider 1983
Viola stricta,ballistic,0.5 / 3.4,Mode and maximum,Stamp & Lucas 1983 in Willson 1993
Calluna vulgaris,wind,1 / 80*,90% of the seeds and maximum,Bullock & Clarke 2000
Calluna vulgaris,wind,0.35 / 2,Calculated median and 99-percentile,Soons & Ozinga 2005
Erica cinerea,wind,1 / 80*,90% of the seeds and maximum,Bullock & Clarke 2000
Sanguisorba minor,wind,0.03 / 0.17,Calculated median and 99-percentile,Soons & Ozinga 2005
Anthoxanthum odoratum,wind,0.3 / 2,Mode and maximum,Antonovics & Ellstrand 1985 in Willson 1993
Carex frigida,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Carlina vulgaris,wind,0.22 / 1.7,Calculated median and 99-percentile,Soons & Ozinga 2005
Carlina vulgaris,wind,1.47,Maximum with a 16.4 km/h wind,Sheldom & Burrows 1973 in Cain et al. 1998
Crepis paludosa,wind,0.31 / 2.2,Calculated median and 99-percentile,Soons & Ozinga 2005
Geum reptans,wind,4,Maximum,Stöcklin & Bäumler 1996
Hieracium aurantiacum,wind,0.1 / 1.9,Mode an maximum,Stergios 1976 in Willson 1993
Hieracium murorum aggr.,wind,0.27 / 1.9,Calculated median and 99-percentile,Soons & Ozinga 2005
Hieracium murorum aggr.,wind,10,Maximum,Stöcklin & Bäumler 1996
Hieracium pilosella,wind,0.21 / 1.7,Calculated median and 99-percentile,Soons & Ozinga 2005
Hieracium sabaudum,wind,1.5 / 15.7,Calculated median and 99-percentile,Soons & Ozinga 2005
Leontodon autumnalis,wind,0.12 / 0.81,Calculated median and 99-percentile,Soons & Ozinga 2005
Picris hieracioides,wind,0.40 / 3.54,Calculated median and 99-percentile,Soons & Ozinga 2005
Pulsatilla sp.,wind,80*,Maximum,Hegi 1906-1938 in Müller-Schneider 1986
Senecio jacobea,wind,0.49 / 4.1,Calculated median and 99-percentile,Soons & Ozinga 2005
Senecio jacobea,wind,14 / 36,Mode and maximum,McEvoy & Cox 1987 in Willson 1993
Senecio vulgaris,wind,0.27 / 3.4,Calculated median and 99-percentile,Soons & Ozinga 2005
Senecio vulgaris,wind,0.34 / 2,Mean and maximum,Bergelson et al. 1993
Tragopogon pratensis,wind,0.41 / 3.4,Calculated median and 99-percentile,Soons & Ozinga 2005
Adenostyles leucophylla,wind,85,Maximum,Stöcklin & Bäumler 1996
Carduus nutans,wind,0.83 / 9.6,Calculated median and 99-percentile,Soons & Ozinga 2005
Carduus nutans,wind,10 / 40-100,Mode and maximum of different measures,Smith & Kok 1984 in Willson 1993
Cirsium arvense,wind,2.0 / 53.4,Calculated median and 99-percentile,Soons & Ozinga 2005
Cirsium arvense,wind,11.4,Maximum with a 16.4 km/h wind,Sheldom & Burrows 1973 in Cain et al. 1998
Cirsium spinosissimum,wind,30,Maximum,Stöcklin & Bäumler 1996
Cirsium vulgare,wind,1.8 / 31.6,Calculated median and 99-percentile,Soons & Ozinga 2005
Cirsium vulgare,wind,1 / 32,Mean and maximum,Klinkhammer et al. 1988 in Cain et al. 1998
Clematis sp.,wind,100,Maximum,Müller-Schneider 1986
Clematis vitalba,wind,10.2 / 100,Calculated median and 99-percentile,Soons & Ozinga 2005
Epilobium angustifolium,wind,7.48 / 2112,Calculated median and 99-percentile,Soons & Ozinga 2005
Epilobium ciliatum,wind,3.65 / 179,Calculated median and 99-percentile,Soons & Ozinga 2005
Epilobium fleischeri,wind,50,Maximum,Stöcklin & Bäumler 1996
Epilobium hirsutum,wind,4 / 136,Calculated median and 99-percentile,Soons & Ozinga 2005
Epilobium montanum,wind,1.6 / 49.6,Calculated median and 99-percentile,Soons & Ozinga 2005
Erigeron acer s.l.,wind,75,Maximum,Stöcklin & Bäumler 1996
Erigeron annuus,wind,1.6 / 35.4,Calculated median and 99-percentile,Soons & Ozinga 2005
Eriophorum angustifolium,wind,1.1 / 24.2,Calculated median and 99-percentile,Soons & Ozinga 2005
Eupatorium cannabinum,wind,1.6 / 23.7,Calculated median and 99-percentile,Soons & Ozinga 2005
Hieracium staticifolium,wind,75,Maximum,Stöcklin & Bäumler 1996
Myricaria germanica,wind,100,Maximum,Stöcklin & Bäumler 1996
Phragmites australis,wind,13.9 / 1714,Calculated median and 99-percentile,Soons & Ozinga 2005
Poa nemoralis,wind,50,Maximum,Stöcklin & Bäumler 1996
Salix sp.,wind,100,Maximum,Stöcklin & Bäumler 1996
Solidago gigantea,wind,4.2 / 136,Calculated median and 99-percentile,Soons & Ozinga 2005
Solidago virgaurea subsp. minuta,wind,4,Maximum,Stöcklin & Bäumler 1996
Taraxacum officinale,wind,0.22 / 2.2,Calculated median and 99-percentile,Soons & Ozinga 2005
Taraxacum officinale,wind,50,Maximum,Stöcklin & Bäumler 1996
Tussilago farfara,wind,20,Maximum,Stöcklin & Bäumler 1996
Tussilago farfara,wind,10 / > 4000*,Mode and maximum,Bakker 1961 in Willson 1993
Typha angustifolia,wind,11.3 / 2194,Calculated median and 99-percentile,Soons & Ozinga 2005
Typha latifolia,wind,14.7 / 3673,Calculated median and 99-percentile,Soons & Ozinga 2005
Agrostis rupestris,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Angelica sylvestris,wind,2.29,Median with a 5.3 m/s wind,Jongejans & Telenius 2001
Angelica sylvestris,wind,0.31 / 1.91,Calculated median and 99-percentile,Soons & Ozinga 2005
Bromus inermis,wind,1.72 / 7,Mean and maximum,Hume & Archbold 1986 in Cain et al. 1998
Bromus sterilis,wind,20,Maximum,Howard et al. 1992 in Bullock & Clarke 2000
Heracleum sphondylium,wind,0.38 / 2.11,Calculated median and 99-percentile,Soons & Ozinga 2005
Heracleum sphondylium,wind,3.12,Median with a 4.7 m/s wind,Jongejans & Telenius 2001
Laserpitium latifolium,wind,1.9,Median with a 4.3 m/s wind,Jongejans & Telenius 2001
Oxyria digyna,wind,1,Maximum,Stöcklin & Bäumler 1996
Pastinaca sativa,wind,3.05,Median with a 4.7 m/s wind,Jongejans & Telenius 2001
Peucedanum palustre,wind,0.25 / 1.49,Calculated median and 99-percentile,Soons & Ozinga 2005
Peucedanum palustre,wind,1.31,Median with a 3.4 m/s wind,Jongejans & Telenius 2001
Rumex acetosa,wind,0.18 / 0.99,Calculated median and 99-percentile,Soons & Ozinga 2005
Rumex scutatus,wind,12,Maximum,Stöcklin & Bäumler 1996
Scabiosa columbaria,wind,1.9,Maximum,Verkaar et al. 1983
Selinum carvifolia,wind,0.1 / 0.5,Calculated median and 99-percentile,Soons & Ozinga 2005
