"",".","Freq"
"1","",3
"2","'Probably' Pongo pygmaeus",1
"3","""birds or other animals""",8
"4","""pasture animals""",2
"5","(water?)",1
"6","(water)",9
"7","0",7172
"8","0.2",5
"9","0.25",6
"10","0.333333333333333",19
"11","0.5",31
"12","0.6",2
"13","0.666666666666667",4
"14","0.75",4
"15","0.8",1
"16","1",2892
"17","1?",4
"18","15 species of bird including 6 species of Cracidae and 2 species of Ramphastidae; Ateles panisc ...",1
"19","2",15
"20","3",13
"21","a-adhesion",32
"22","a-ant",257
"23","a-vertebrate",42
"24","a-water",1
"25","a-wind",16
"26","Acridotheres tristis, Sturnus contra, S. pagodarum",1
"27","Acromyrmex striatus (leaf-cutting ant)",1
"28","adhesion-dispersed (hooks, spines or bristles to assist attachment, checked to see if adhered t ...",35
"29","African elephant",1
"30","agochor",4470
"31","Agouti",2
"32","Agouti paca",1
"33","Agouti paca, Dasyprocta punctata",1
"34","agouti, horse, cattle, deer, tapir, peccary, paca, some rodents",1
"35","agouti, peccary, paca. rodents",1
"36","Ailuroedus crassirostris, Ptilonorhynchus violaceus",1
"37","Alectronenas madagascariensis; Lepilemur dorsalsis, Lemur macaco",1
"38","Alouatta palliata",1
"39","Alouatta palliata (howling monkey)",23
"40","Amazona vittata, Margarops fuscatus, Columba squamosa, Geotrygon montana",1
"41","American robin",1
"42","Anadorhynchus hyacinthinus",3
"43","Anchorage mechanism/s",3
"44","Anemo",22
"45","anemochory",253
"46","Anemochory",23
"47","Anemochory: Big and round seeds rolling on the ground, pushed by the wind",14
"48","Anemochory: Big seeds with ""wings"", planing in the air (ex,  Acer sp.)",228
"49","Anemochory: Small seeds with pappus or very light seeds (ex,  Crepis sp. or Orchis sp.)",216
"50","Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.)",254
"51","animal",1644
"52","Animal",3227
"53","Animals",45
"54","Anodorhynchus glauca (now extinct)",1
"55","Anodorhynchus hyacinthinus",1
"56","Anodorhynchus hyacinthinus, Deroptyus accipitrinus; Tapirus terrestris",1
"57","ant",2424
"58","ant (elaiosome)",2
"59","ant-dispersed (elaiosome attached)",18
"60","ant?",21
"61","Anthracoceros convexus",1
"62","Anthracocerus coronatus convexus",1
"63","Antillean terrapin",1
"64","ants",83
"65","Ants",1
"66","Ants.",151
"67","Ants+birds.",6
"68","Aphaenogaster longiceps",5
"69","Aphaenogaster longiceps; Pheidole sp.",1
"70","Aphaenogaster longiceps; Rhytidoponera metallica",2
"71","Aphenogaster rudis, Myrmica punctiventris, Formica subsericea, Lasius alienus",1
"72","Apterix australis, Callaeas cinerea, Hemiphaga novaeseelandiae novaeseelandiae",1
"73","Ara glaucogularis",1
"74","Ara severa, Pionites melanocephala; Phrynops rufipes",1
"75","Aratinga euops",1
"76","arboreal mammals",2
"77","Arboreal mammals",3
"78","Argusianus argus",1
"79","Artibeus jamaicense",1
