order,OrigValueStr,Freq,mode
1,,3,
2,'Probably' Pongo pygmaeus,1,endo
3,"""birds or other animals""",8,endo
4,"""pasture animals""",2,animalnotspecified
5,(water?),1,water
6,(water),9,water
7,0,7172,
8,0.2,5,
9,0.25,6,
10,0.333333333,19,
11,0.5,31,
12,0.6,2,
13,0.666666667,4,
14,0.75,4,
15,0.8,1,
16,1,2892,
17,1?,4,
18,15 species of bird including 6 species of Cracidae and 2 species of Ramphastidae; Ateles panisc ...,1,
19,2,15,
20,3,13,
21,a-adhesion,32,attach
22,a-ant,257,ant
23,a-vertebrate,42,endo
24,a-water,1,water
25,a-wind,16,wind
26,"Acridotheres tristis, Sturnus contra, S. pagodarum",1,endo
27,Acromyrmex striatus (leaf-cutting ant),1,ant
28,"adhesion-dispersed (hooks, spines or bristles to assist attachment, checked to see if adhered t ...",35,attach
29,African elephant,1,endo
30,agochor,4470,
31,Agouti,2,cache
32,Agouti paca,1,cache
33,"Agouti paca, Dasyprocta punctata",1,cache
34,"agouti, horse, cattle, deer, tapir, peccary, paca, some rodents",1,endo
35,"agouti, peccary, paca. rodents",1,cache
36,"Ailuroedus crassirostris, Ptilonorhynchus violaceus",1,endo
37,"Alectronenas madagascariensis; Lepilemur dorsalsis, Lemur macaco",1,endo
38,Alouatta palliata,1,endo
39,Alouatta palliata (howling monkey),23,endo
40,"Amazona vittata, Margarops fuscatus, Columba squamosa, Geotrygon montana",1,endo
41,American robin,1,endo
42,Anadorhynchus hyacinthinus,3,animalnotspecified
43,Anchorage mechanism/s,3,
44,Anemo,22,wind
45,anemochory,253,wind
46,Anemochory,23,wind
47,"Anemochory: Big and round seeds rolling on the ground, pushed by the wind",14,wind
48,"Anemochory: Big seeds with ""wings"", planing in the air (ex,  Acer sp.)",228,wind
49,"Anemochory: Small seeds with pappus or very light seeds (ex,  Crepis sp. or Orchis sp.)",216,wind
50,"Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.)",254,wind
